album_id,album_title,artist_name,album_date_released,album_tracks,album_listens,album_favorites,album_comments
10037,Live at the OCCII,Zydepunks,7/08/2009,6,7809,0,0
10038,Live at Pacific Parc 17/01/2009,Bonaparte,,9,1742,0,0
10039,Hesperos,Adriano Orru,9/15/2011,6,5379,3,0
1004,Live at WFMU on Diane's Show on 11/6/2008,Triclops!,11/06/2008,7,2533,0,0
10041,"Live at WFMU on Evan ""Funk"" Davies Show on September 7, 2011",The Cute Lepers,9/07/2011,11,8092,0,0
10042,"Live at WFMU on Beastin' The Airwaves! with Keili on August 28, 2011",Hooves,8/28/2011,4,1393,0,0
10044,"Live at WFMU on Three Chord Monte with Joe Belock on September 8, 2011",Sally Crewe And the Sudden Moves,9/08/2011,8,5616,0,0
10049,The Dark Glow of the Mountains,Chris Zabriskie,5/15/2015,5,121760,4,0
1005,Live at wfmu on Dan Bodah's Show on 11/16/2008,Larkin Grimm,11/16/2008,11,2337,2,0
10050,I Am a Man Who Will Fight for Your Honor,Chris Zabriskie,3/10/2009,7,283573,13,6
10051,Growing Over,Sex Church,10/11/2011,1,2992,1,0
10052,Preludes,Chris Zabriskie,9/22/2009,23,1013245,25,5
10053,Vendaface,Chris Zabriskie,8/10/2010,5,615353,10,0
10057,Stunt Island,Chris Zabriskie,1/13/2011,4,137744,4,1
10058,Divider,Chris Zabriskie,7/18/2011,6,575418,21,3
1006,Live at WFMU on Irene Trudel's Show on 11/10/2008,Micah Blue Smaldone,11/10/2008,4,845,0,0
10061,"Life On Earth is Pure and Golden, Life on Earth is Hell on Earth",Sam Gas Can,,10,6725,1,0
10062,EP One,The Easton Ellises,5/24/2011,5,19639,5,1
10064,Beach Flats,Nineteen Eight Eight,9/12/2011,3,4313,0,0
10065,The Elements Inside Two Circles,Black Forest Orchestra,9/12/2011,4,1305,0,0
10066,Birds and Bats,Louis Minus Seize,9/16/2011,4,4246,1,0
10067,Freedom as mama told me,Asian Women on the Telephone,9/16/2011,15,2133,0,0
10068,la Magie d internet,Ultra Kabron,,1,1481,0,0
10069,Go On,Morgan Sadler,9/17/2011,2,8884,1,0
1007,Hank IV Live at WFMU on Brian's Show on 11/18/2008,Hank IV,11/18/2008,12,2932,0,0
10070,Life-Size Cut-Out,Harpoon Forever,,4,2555,0,0
10071,Look Forward to Nothing,Kitchen's Floor,,2,656,0,0
10073,A solar rush towards a treble heaven,Scattered Order,,1,1302,0,0
10074,OLD DEMO NEW MIX,Rat King,,1,815,0,0
10075,Ergo's Disco Van Dango,Ergo Phizmiz,9/18/2011,6,7015,0,0
10076,Digital Primitives,Digital Primitives,10/06/2006,3,6507,1,0
10077,America,Digital Primitives,8/06/2003,3,10769,2,0
10078,Sea Of Lead,Agusti Fernandez,1/01/2006,3,2093,0,0
10079,Solitude,Assif Tsahar,6/08/2005,4,4987,0,0
10080,Chaotic-Life-Fin,Jared C. Balogh,9/13/2011,9,96761,0,2
10082,Last Night I Saw Everything In Slow Motion (Single),Tank,,1,1552,0,0
10083,Live - May 2011,Mondo Phase Band,,1,502,0,0
10084,Rabbits In Space,Furchick,,1,762,0,0
10085,Ladyz In Noyz Australia Volume 1,onion,,1,455,0,0
10086,Suddenly Ur In My Heart (Single),Scraps,,1,1512,0,0
10087,Life It's A Party (Single),Chrome Dome,,1,654,0,0
10088,Live at ISSUE 4/27/11,"Okkyung Lee with Tom Rainey, Liberty Ellman, and Skuli Sverrisson",,4,2365,0,0
10089,Ground Foot,Caught Ship,,1,567,0,0
10090,Sweet Grillz Split,Bare Grillz,,1,778,0,0
10091,Vaporous Weeks,Dissolved,9/19/2011,16,7442,2,0
10094,Dead Excitement EP,Coïtus Int.,5/12/2011,1,554,0,0
10095,Live at Bottom of the Hill 8/22/2011,Obits,,15,2015,0,0
10096,Live at NSC,Superstar,,1,153,0,0
10097,Too Nugged To Drunk,The Nugs,,1,461,0,0
10098,Isvolt,HORSE MACGYVER,,1,172,0,0
101,Wooden Lake Sexual Diner,Bird Names,1/01/2007,3,2180,0,0
10100,Clandestine Cassette Series # Two,Nonhorse,10/11/2011,1,336,2,0
10101,The Bridge (Featuring Sleaze),Just Plain Ant,8/16/2011,5,1601,1,0
10104,Nothing Begets Nothing EP,Just Plain Ant,9/13/2011,4,395,2,0
10105,[albumtitle],Just Plain Ant,9/06/2011,15,4053,1,0
10106,Silent Partner,Neptune,10/11/2011,1,743,0,1
10108,Eleven Twenty-Nine,Eleven Twenty-Nine,,1,656,1,0
10109,Outdoor Spell,Rhys Chatham,,2,1929,2,0
1011,Live at WFMU on Terre T's Show on 11/1/2003,Measles Mumps Rubella,11/01/2003,25,2025,0,0
10111,EPP1,Brandy Alexander Project + Laps,9/20/2011,6,5232,1,0
10112,Bad Panda #100,Handbook,9/19/2011,1,24000,2,0
10113,Dissembler,alright lover,9/21/2011,12,66840,0,0
10114,Live at The Satellite 8/24/2011,Obits,,16,4493,0,0
10115,"Live at WFMU on Irene Trudel's Show on September 5, 2011",Yair Yona,9/05/2011,8,7144,3,0
10116,S/T,WOMAN,7/01/2009,1,1849,1,0
10117,"Live at WFMU on The Long Rally with Scott McDowell on September 16, 2011",Hans Chew,9/16/2011,4,3317,0,0
10118,"Live at WFMU on Marty McSorley's Show on September 20, 2011",No Babies,9/20/2011,9,3503,0,0
10119,"Live at WFMU on Marty McSorley's Show on September 13, 2011",High Castle,9/13/2011,8,1699,0,0
10120,Blonde Kid (Demo),Mere Women,,1,1205,0,0
10121,Siberia Flexi Postcard,Kirin J Callinan,,1,458,0,0
10123,Unusable Signal (Reissue),Pilesar,9/24/2011,16,9713,0,0
10124,Hunted Like A Ghost Machine,happiness in aeroplanes,5/05/2011,15,12446,1,2
10125,Another Position EP,Morphamish,,6,149962,3,2
10126,Provocateur,Opul,,4,1085,1,0
10127,Blue,Mark Neil,,11,79376,6,9
10128,El VALS MEFISTO,San Pedro El Cortez,,3,5189,1,0
10129,Favorites 01: Sebastian Blanck,Benji Cossa,9/25/2011,10,4658,0,0
10131,la sieste de l aprés midi,Efaï Héfaille,,7,2180,0,0
10132,Demo - Live 5.12.11,Cellular Chaos,5/27/2011,5,377,0,0
10133,"Live at WFMU on Talk's Cheap with Jason Sigal September 22, 2011",The German Measles,9/22/2011,9,2705,3,0
10134,"Live at WFMU on Gaylord Fields' Show September 4, 2011",Bandana Splits,9/04/2011,6,19297,3,1
10135,People and Places,FLT RSK,6/21/2011,8,18064,2,0
10136,WHNZ:32:ABRAMÁLAGA,((( vlubä ))),9/27/2011,8,2515,0,0
10138,Ray - A Life Underwater,junior85,9/27/2011,9,39825,3,1
10139,"Live at WFMU on Gaylord Fields' Show September 4, 2011",Ivy,9/04/2011,6,5271,0,0
10140,"Live at WFMU on Irwin's Show September 21, 2011",Mike Doughty,9/21/2011,18,11186,1,0
10141,JAM,Assif Tsahar,8/01/2003,3,8956,0,0
10142,"deals, ideas, ideals",Assif Tsahar,5/24/2000,4,11073,0,0
10143,Come sunday,Assif Tsahar,8/01/2003,3,13011,0,0
10144,Embracing the void,Assif Tsahar,9/28/2011,3,10228,0,0
10145,Lost brother,Digital Primitives,1/01/2005,3,1263,0,0
10146,"Live at WFMU on Beastin' The Airwaves with Keili on August 31, 2011",Abstract Artimus,8/31/2011,18,1774,0,0
10148,"Live at WFMU on Marty McSorley's Show on September 27, 2011",Whitman,9/27/2011,6,2510,0,0
10150,"""Sex Drive"" b/w ""Patio Set"" 7""",The Embarrassment,10/01/2011,1,1247,1,0
10153,Somewhere In Detroit,Telegraphy,7/12/2011,1,2869,1,1
10155,Tripping through runtime,Valentina Vuksic,8/23/2011,8,4151,3,0
10157,Fragments,Assif Tsahar,1/01/2004,3,14334,0,0
10158,The Hollow World,Assif Tsahar,1/01/1999,3,634,0,0
10159,The labyrinth,Assif Tsahar,1/01/2002,3,792,0,0
10160,L' Hémission de radio avec Hendrik & Hegray,Sobak Morbak,,1,1142,0,0
10161,a theory of possible utterance,Alfredo Costa Monteiro & Tim Olive,9/27/2011,4,619,1,0
10162,Rehearsal in Jogja,Malaikat Dan Singa,9/29/2011,2,1189,0,0
10164,Bad Panda #101,Steven Smirney,9/26/2011,3,3999,0,0
10165,Telegraphy E.P.,Telegraphy,1/29/2010,4,3336,0,0
10167,"October 2011 Virtual Tour 7""",Lame Drivers,10/01/2011,4,1777,1,0
10170,Hum crackle & pop,Digital Primitives,1/01/2009,3,41650,1,1
10171,tells untold,Digital Primitives,1/01/2005,3,5680,0,0
10172,Ayn le any,Assif Tsahar,1/01/2002,3,568,2,0
10174,Diagnosis: Success,K. Sparks,9/19/2011,24,40338,2,0
10176,+ruidos+piano,Mal(A.Ventura)2,,3,2495,1,0
10178,Deep In The Neighborhood Of History And Influence,Cooper-Moore,1/01/2000,5,6176,0,0
10179,Outtakes 1978,Cooper-Moore,1/01/2006,3,8440,0,1
10180,"Live at Cafe OTO, 18 October 2010",Chris Forsyth,,1,775,0,0
10182,Solo Dja Kabaco,FESTI 40 music festival,,4,13156,1,0
10185,PRESS RECORD,DC9V,,25,826,0,0
10186,"Dust Particles, Volume One",Various Artists (Angel Dust Records),8/04/2011,11,4889,1,2
10187,Sleepwalkers Walk Alone,Manuele Atzeni,10/01/2011,6,18404,2,0
10188,Dans Les Terres,Syndrôm,10/03/2011,11,7863,0,0
10189,In My House,Audio K,,5,5898,0,0
10190,Ten Thousand Hours,Elliott Sharp,,1,907,0,0
10191,Dub Lab,DuBoLoGy,8/25/2011,8,18170,0,1
10192,Life is inna riddim,Friglob,9/28/2011,8,6285,0,0
10193,A thousand furious bees,Mister Beep,4/29/2011,11,18104,2,1
10194,Urban Assault Vehicle,"Joe McPhee with Roy Campbell, Joe Giardullo, Dominic Duval, Mike Bisio, Jay Rosen",,2,2176,0,0
10195,Composition No. 183,Anthony Braxton,,1,2313,0,0
10196,Directed Numbers [noise],junior85,10/04/2011,7,3262,1,0
10198,Don't Let Your Baby Have All the Fun,The Sun,,26,11637,5,0
10199,Psychedellic Saturday,Where the Moon Came From,,1,1378,0,0
102,Black Elk,Black Elk,1/08/2009,3,4418,1,0
10200,Twin of Pangaea,Where the Moon Came From,,7,9539,2,0
10201,Home cookin',Assif Tsahar,1/01/1999,4,523,0,0
10203,"Ma, live fondation Miro",Assif Tsahar,1/01/2003,4,428,0,0
10204,WHNZ:31:TIWIB,Francesco Paolo Addati & Efisio Nicolò Sabiucciu,10/05/2011,5,2686,0,0
10205,Geeks and Parasites,Kingstux,10/05/2011,6,3092,0,0
10207,Ulqutushuy3,varios artistas,,15,32885,0,0
10208,Club Dirt,Phemale,10/05/2011,10,4726,2,0
10210,Refried Dreams,Cheater Slicks,,2,494,1,0
10211,Our Food Is Chaos,Cheater Slicks,,1,923,0,0
10212,Walk Into the Sea,Cheater Slicks,,1,1237,1,0
10213,September 2011,Clinical Archives Mix,,10,3172,1,0
10214,Andrew Cyrille & Richard Teitelbaum,Andrew Cyrille & Richard Teitelbaum,,1,541,1,0
10215,Heavy Mandolin,Ryan Hardy,10/07/2011,10,8328,1,3
10216,Bad Panda #102,Le Chevalier,10/03/2011,1,1448,0,0
10217,Shangri-La (Instrumentals),YACHT,6/21/2011,10,146798,20,2
10219,Cosmic Conspiracy,Starseed,,6,24343,2,0
1022,Live at WFMU on Brian Turner's Show on 7/19/2005,Afrirampo,7/19/2005,8,7486,3,0
10220,Межгалактическaя Прогулка,Тиаз Ич,3/04/2009,9,6158,0,0
10222,Live at Cafe OTO,Steve Noble & Frode Gjerstad,,1,419,0,0
10223,Trick Or Treat,Lee Rosevere,10/10/2011,2,5870,1,0
10224,songs from the sewer,cloud mouth,,7,18398,0,0
10225,lambs quarters,cloud mouth,,4,37614,1,0
10226,Noisewaves,Noisewaves,,6,75569,0,0
10227,"Live at Feeding Tube Records May 7, 2011",Prana-Bindu,5/07/2011,1,657,0,0
10228,Bad Panda #103,Monday Night Fever,10/10/2011,4,20507,2,0
10229,"Live at WFMU on The Long Rally With Scott McDowell October 7, 2011",Steve Gunn,10/07/2011,3,10276,7,0
10230,"Live at WFMU on The Evan ""Funk"" Davies Show October 5, 2011",Notekillers,10/05/2011,11,2659,1,1
10232,Favorites 02: Eric Copeland,Benji Cossa,10/25/2011,17,7015,0,0
10233,"Live at WFMU on Gaylord Fields' Show on September 25, 2011",Bird of Youth,9/25/2011,6,4435,0,0
10234,"Live at WFMU on Beastin' The Airwaves! with Keili on October 2, 2011",Jealousy,10/02/2011,11,7284,0,1
10235,netBloc Vol. 34: The Whitewash,netBloc Artists,9/27/2011,14,22793,1,0
10236,"Live at WFMU on Brian Turner's Show on October 11, 2011",Dan Melchior und Das Menace,10/11/2011,4,1689,0,0
10237,"Live at WFMU on the Cherry Blossom Clinic with Terre T. on October 1, 2011",Sorrows,10/01/2011,8,3527,0,0
10238,Drums Over London,Disco Zombies,10/01/2011,2,5691,1,0
10239,Infinity,BADLUCK,10/11/2011,8,5036,1,0
10242,"Live at WFMU on Talk's Cheap, Oct 13th 2011",Asian Women on the Telephone,,8,4636,3,0
10247,"Live at CKUT on If You Got Ears, September 21 2011",Tonstartssbandht,9/21/2011,2,1753,0,0
10248,[ROMB],THKAD,10/16/2011,9,2931,1,0
10249,entre Mozart et les grands sauriens,MOZAURE,,10,8055,0,2
10251,Live at CKUT on New Shit October 2010,Vagina Bison,,3,406,0,0
10252,WHNZ:29:STOMAC,Charles Curse,10/18/2011,19,2990,0,0
10253,Carbon,Global Goon,10/17/2011,13,19147,5,3
10254,"Live at WFMU on The Cherry Blossom Clinic with Terre T. October 15, 2011",Sloan,9/16/2011,5,4197,0,0
10256,Sundowners,Austin Leonard Jones,,8,44785,2,0
10257,"Live at WFMU on Talk's Cheap with Jason Sigal September 29, 2011",Fat History Month,9/29/2011,2,784,0,0
10258,"Live at WFMU on Talk's Cheap with Jason Sigal September 29, 2011",Kitchen's Floor,9/29/2011,8,3593,0,0
10259,Burkina Faso: Festi 40 Unreleased Recordings,FESTI 40 music festival,10/17/2011,0,12504,0,0
10260,"Live at WFMU on Gaylord Field's Show on October 16, 2011",The Olivia Tremor Control,10/16/2011,6,4794,2,0
10261,"Live at WFMU on the Three Chord Monte Show with Joe Belock on September 29, 2011",Mikal Cronin,9/29/2011,1,1656,0,0
10262,"Live on My Castle of Quiet on WFMU, 10.7.2011",The Black Twilight Circle - Various Artists,,15,16728,0,0
10263,"Live at WFMU on Marty McSorley's Show on October 18, 2011",Chapter 24,10/18/2011,7,1736,1,0
10264,"Live at WFMU on Beastin' The Airwaves! with Keili on October 16, 2011",Starscream,10/16/2011,15,9257,0,0
10265,La Continuidad,Ada Rave Cuarteto,10/11/2011,31,12611,1,0
10266,Rage158,Radio Shock,,8,5035,0,0
10269,Just Kids,Nineteen Eight Eight,10/21/2011,3,3554,0,0
10270,Midnight Morning Glory,Telegraphy,10/21/2011,4,5190,1,0
10272,WFMU Session with Liz B,The Polyps,,9,1568,0,0
10273,Daevid Loyza is a living Buddha,OsO El roTo,,30,1636,0,0
10277,Un PIOU PIOU parmi tant d'autres,Alaclair Ensemble,,14,11995,1,0
10278,Le roé c'est moé,Alaclair Ensemble,,14,47916,0,0
10279,Vengeance,Jacques Cochise,10/24/2011,8,2741,0,0
10280,Touladis,Alaclair Ensemble,,12,10555,1,0
10281,Microhorror Compilation Vol.2,Dr. Von Pnok,1/13/2009,21,26433,1,0
10282,la colline et la corde,L' Amicale du Tigrou,,9,11455,0,0
10284,Tuv Enuv,Mincemeat or Tenspeed,,3,414,0,0
10286,Zombies Ate My Neighbors,Dylan Palme,,8,48098,1,0
10287,Come Uccidere Una Dancera In Cinque Semplici Passi,Mesu Kasumai,,5,9202,1,0
10288,Cha-Cha-Cha With The Devil,Das Gritli Moser,,9,2601,0,0
10290,Hand-Rolled Oblivion,Various Artists [mymwly],1/01/2008,53,11724,1,0
10291,Reset All Systems,Mastermind XS,10/24/2011,13,8776,3,0
10292,FATHER | SON,The Kyoto Connection,,7,17719,1,2
10293,"Live at WFMU on Terre T's Cherry Blossom Clinic, Oct 22nd 2011",Zounds,10/22/2011,6,1269,0,0
10294,"Live on Terre T's Cherry Blossom Clinic at WFMU, Oct 22nd 2011",Wild Flag,10/22/2011,6,3899,1,0
10295,No Headphones Required,The Kyoto Connection,,33,18062,0,0
10296,Random Patterns,Köhn,10/18/2011,1,840,0,0
10297,The Second Voyage,The Kyoto Connection,,10,19792,0,0
10298,The EPs XE,Garmisch,10/22/2011,21,11118,1,0
10299,Dubious Luxury,Mike Doughty,8/10/2011,18,35240,2,1
1030,Live at WFMU on Terre T's Show on 7/29/2006,The Cynics,7/29/2006,9,2697,0,0
10303,Split Tape,The Charts,,4,2783,0,0
10304,Archers EP,Archers,,2,10666,0,0
10305,"Live at WFMU on Beastin' The Airwaves with Keili on October 9, 2011",The Soft Moon,10/09/2011,8,8078,0,1
10306,The First Voyage,The Kyoto Connection,,9,18829,0,2
10308,"Live at WFMU on Liz Berg's Show on October 3, 2011",Bird Names,10/03/2011,9,3163,0,0
10309,Waves,320320320320,,40,4854,0,0
10310,Split Tape,Besties,,1,1270,0,0
10311,"Live at WFMU on Three Chord Monty with Joe Belock on October 6, 2011",Mighty Fine,10/06/2011,12,1805,0,0
10312,Majic Eyes EP,Majic Eyes,,1,480,0,0
10313,Crystal,Stan Hubbs,5/01/2011,2,2975,0,0
10315,Eggy Tape,Mad Nanna,,2,1308,0,0
10316,SPIT,Sol Rezza,8/12/2011,6,12908,1,0
10320,BUFFETINFANTIL,Vulnavia Vanity / Ergo Phizmiz,,10,1601,0,0
10322,Digest (Revisited),Eaters,,12,12152,0,0
10323,Club Crunk For Monkeys,Kromatic,,6,2223,0,0
10324,Renaissance 2011,BADLUCK,10/25/2011,16,6916,1,0
10326,live at Zebulon 10/24/11,Remote Burial,10/24/2011,1,1649,0,0
10329,Always On Your Side,The Kandis Project,10/31/2011,18,1911,2,0
10331,The agency of missing hearts,et_,2/11/2010,11,212127,15,9
10335,Pulses,Jin Hi Kim and Gerry Hemingway,,1,1122,0,0
10336,Microhorror Compilation Vol. 1: Part I - The Crypt,Dr. Von Pnok,10/31/2007,9,11505,1,0
10337,Microhorror Compilation Vol. 1: Part II - The Lab,Dr. Von Pnok,10/31/2007,7,12403,0,0
10338,Microhorror Compilation Vol. 1: Part III - The Graveyard,Dr. Von Pnok,,15,52785,3,0
10339,10-23-2011,Jason Hodges + MP Lockwood,10/31/2011,1,1187,0,0
10341,Very Fragile,Mr. & Mrs. Smith,,10,13870,1,2
10342,Killbots EP,Blasterhead,,5,33457,1,0
10343,In Sectiuni [LCL09],Cristi Cons,10/27/2011,5,5995,0,0
10344,"Live at WFMU on Transpacific Sound Paradise August 6th, 2011",Sexteto Tabalá de Palenque,8/06/2011,9,12690,1,0
10346,"Live at WFMU on Transpacific Sound Paradise October 8th, 2011",Canzoniere Grecanico Salentino,10/08/2011,7,11895,1,1
10347,FAIT TARZAN & VIVE LA FRANCE,Misiaczek,,33,32719,0,0
10348,Live on Talk's Cheap WFMU Oct 27th 2011,Peaking Lights,10/27/2011,5,13545,2,0
10349,"Live at WFMU on Duane's Show October 19, 2011",The Stepkids,10/19/2011,4,7571,0,0
10350,Red River EP,Tickle,,3,4454,2,3
10351,"Live at WFMU on Beastin' the Airwaves with Keili on October 16, 2011",Alan Watts,10/16/2011,7,5116,0,0
10354,"Live at WFMU on Marty McSorley's Show on October 25, 2011",Guardian Alien,10/25/2011,2,3312,0,0
10355,"Live at WFMU on Talk's Cheap, Oct 27th 2011",Pujol,10/27/2011,6,2357,1,0
10356,"Live at WFMU on Beastin' The Airwaves with Keili on October 23, 2011",Heaven's Gate,10/23/2011,11,6107,0,0
10357,Guardians Of The Flame,Arabian Horses,1/01/2011,1,2161,0,0
10359,If / Then,Glass Boy,,4,6882,0,0
10360,Casual Pustule Lingo,Lambs Gamble,1/01/2009,9,1197,0,3
10361,The Four Seasons (Vivaldi),John Harrison with the Wichita State University Chamber Players,,12,471199,19,8
10362,"Live at the WFMU Record Fair, Oct 29th 2011",Prince Rama,10/29/2011,5,1050,0,0
10363,Les Digitales,Audio K,,31,11130,1,1
10366,Treble,Tone Poets,,23,5406,0,0
10368,October 2011,Clinical Archives Mix,11/05/2011,5,12067,1,0
10369,2 high fidelity songs 4 headphones,Origami Repetika,11/05/2011,2,15419,1,0
10370,Cooler Heads Prevail,Sky Thing,,3,1906,0,0
10371,Games of Chance,Mincemeat or Tenspeed,,1,816,0,0
10372,Peace Love & Alienation,The Prefab Messiahs,11/15/2011,4,13552,2,0
10374,Addicted To Radio Dot Com Mixtape,Nat Roe,,4,8756,0,1
10375,Live Lumps Festooned with Garbage,Lovely Little Girls,1/01/2003,8,5406,0,0
10376,Einstein,OsO El roTo,,1,872,0,0
10380,Blind Alley/Orphan Drug (single),Wrist,10/27/2011,2,216,0,0
10382,UTOPIA = NO PLACE,Prince Rama,,4,1943,0,0
10383,"LIVE on My Castle of Quiet, 10.21.2011",Mister Matthews,,2,2254,0,0
10387,Introduction To Humanity,All Scars,1/12/1999,14,7873,1,0
10388,WHNZ:33:JPOTPD,Lambs Gamble,11/08/2011,3,1022,0,0
10392,Gut Rot,Hot Garbage,1/01/2010,8,1906,0,0
10393,"Live from WFMU's Transpacific Sound Paradise broadcast from Barbés September 17, 2011",Ben Holmes and Patrick Farrell,11/17/2011,6,22651,0,0
10394,"Love, death and a drunken monkey",The Freak Fandango Orchestra,,7,52222,11,0
10395,"Live at WFMU on Brian Turner's Show on October 4, 2011",Key of Shame,10/04/2011,4,516,0,0
10396,"Live at WFMU on The Evan ""Funk"" Davies Show November 2, 2011",The Bon,11/02/2011,10,5234,0,0
10397,Morose Love Poems,Yerri,,14,3300,0,0
10398,"Live at the 2011 Record Fair on the Cherry Blossom Clinic with Terre T. on October 29, 2011",The Sediment Club,10/29/2011,7,2620,0,0
10399,"Live at the 2011 Record Fair on Cherry Blossom Clinic with Terre T. on October 29, 2011",The Black Hollies,10/29/2011,6,3142,0,0
104,II,Black Pus,1/01/2006,0,421,1,1
10400,"Live at the 2011 Record Fair on October 30, 2011",CSC Funk Band,,5,10883,1,0
10402,Untitled K-Holes LP 2012,K-Holes,4/01/2012,1,2731,0,0
10405,Tales Of A Dead Fish,The Freak Fandango Orchestra,11/09/2011,6,261421,38,1
10406,Zellrasen,Zellrasen,11/10/2011,4,1050,0,0
10408,B 2.0,Tortue Super Sonic,10/28/2011,51,78049,5,0
10410,Bad Panda #104,Jiony,10/17/2011,3,3969,1,0
10411,Bad Panda #105,Kodak To Graph,9/26/2011,5,11272,2,3
10412,Land Lines,Starving Weirdos,1/24/2012,1,640,0,0
10413,'To You' - digital single,Black Math,,1,4886,0,0
10415,Let It Go,Orca Team,,3,5797,0,0
10416,Stoner Romance,Erik Gage,,4,4667,0,0
10417,live the dream,The Rories,11/13/2011,7,1160,0,0
10418,Explosion de l'ego dans une  mercerie de conscience autodidacte,Les elfes digitaux perdus dans le Haut Var,,15,516,0,0
10419,Devoured By Saturn,Floating Spirits & Silent Strangers,11/14/2011,11,6306,0,0
10420,Got the Vibes - The Complete Collection,The Courier,11/11/2011,7,24223,1,1
10422,Soulless Music,Fleshtone Aura,7/28/2011,2,644,0,0
10423,Fleshtone Aura,Fleshtone Aura,2/16/2011,2,440,0,0
10424,Eggy Tape,Sad Horse,,3,3467,0,0
10425,Flestone Aura Live,Fleshtone Aura,7/07/2011,8,1481,0,0
10431,It Hurts To Breathe OST,alright lover,11/15/2011,1,537,0,0
10432,Live at Café OTO (Tusk Weekend),Steve Gunn,,3,17782,1,1
10434,Leïla Day,Audio K,11/10/2011,14,2048,2,0
10435,Dreemer (single),Phemale,11/16/2011,1,1834,0,0
10436,27 EP,Scarletins,10/11/2011,3,369,0,0
10437,"Live at WFMU on Irene Trudel's Show on November 14, 2011",Alash Ensemble,11/14/2011,10,42707,5,0
10438,"Live at WFMU on Brian Turner's Show on November 8, 2011",Call of the Wild,11/08/2011,7,1361,0,0
10439,KONTRAST,KVZE,,8,11735,1,0
10440,Mark It Zero,Opio,4/20/2010,10,15788,0,0
10442,Keep the Fire,Jenny Mayhem,1/07/2009,6,16375,5,1
10443,1+e,Kevin Bryce,10/16/2011,7,10267,0,0
10444,A Sound Map of the Housatonic River,Annea Lockwood,,1,1579,1,0
10445,Sounds from the Book of Bean,Alison Knowles,,7,6086,1,0
10446,Techno Service (#1),Ergo Phizmiz,,3,11505,0,0
10447,Live at Café OTO - 15 October 2011,The Hunter Gracchus,,1,826,0,0
10448,Live at The Rivoli 10/25/2011,Obits,,9,5206,0,0
10449,volume 1,Krebs,,8,12163,0,0
10450,"Selections, Fall 2011",The Concert,,20,130511,10,4
10451,MFW,M F W,,18,5701,1,1
10452,Living Under Radiation: The Role of Arts After 3.11 Fukushima,Otomo Yoshihide,11/16/2011,1,634,0,0
10453,U.S. GIRLS ON KRAAK,U.S. Girls,,1,36809,1,1
10455,Cosmos Remixes EP,Jakub Nox Ambroziak,,15,4536,0,0
10456,weeping,last king of poland,11/21/2011,2,540,0,0
10457,Cage à Babouins,Benjamin Bret,,11,3448,0,0
10458,Case Closed,BADLUCK,11/08/2011,14,9975,1,0
10459,"Live at WFMU on Liz Berg's Show November 21, 2011",Nymph,11/21/2011,3,3166,0,0
10460,"Live at WFMU on Three Chord Monte with Joe Belock November 10, 2011",Jackie & The Cedrics,11/10/2011,7,28480,0,2
10461,"Live at WFMU on Three Chord Monte with Joe Belock November 10, 2011",The Fadeaways,11/10/2011,6,2885,1,0
10462,"WGNS session Feb. 20, 1993",Smooch,2/20/1993,2,1101,0,0
10464,Smooch Instrumentals,Smooch,4/01/1993,4,3585,0,0
